Registreringsnummer;Fordonets status;Fordonskategori;Märke;Handelsbeteckning;Slagvolym;Tillverkningsnummer;Ägare/innehavaren;Filial;Typ av ägande;Besittningsförhållande;Innehavarens namn;Begränsningar;Typ av överlåtelseanmälan;Intervallet för periodisk besiktning början;Intervallet för periodisk besiktning slut;Besiktning aktuell;CO2 Kombinerat;CO2 Viktat, kombinerat;WLTP CO2 kombinerad;WLTP CO2 viktade, blandad;Drivkraft;Fordonets användningsändamål;Ägarskapets startdatum;Försäkringsbolag;Försäkringens startdatum;Datum för första registrering;Ibruktagningsdatum;Utsläppsklass;Elhybrid;Typ av eldrivet hybridfordon
"=""UXF-336""";registrerad/registrerat;N1/Paketbil;Citroen;BERLINGO;1560;VF77E9HF8DJ731353;Budtrans Group Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;6.2.2026;8.2.2027;Ja;122;;;;Dieselolja;Privat;7.11.2025;LähiTapiola;15.11.2025;5.11.2013;5.11.2013;Euro 5;Nej;
"=""GKS-642""";registrerad/registrerat;N1/Paketbil;Citroen;BERLINGO;1560;VF77F9HF8DJ587043;Budtrans Group Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Periodisk besiktning har inte utförts/godkänts;;11.2.2025;11.2.2026;Ja;122;;;;Dieselolja;Privat;11.8.2025;LähiTapiola;6.8.2025;24.4.2013;24.4.2013;Euro 5;Nej;
"=""VXH-696""";registrerad/registrerat;N1/Paketbil;Citroen;BERLINGO;1560;VF77E9HF8DJ712160;Budtrans Group Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;15.8.2025;17.8.2026;Ja;122;;;;Dieselolja;Privat;21.8.2025;LähiTapiola;21.8.2025;30.9.2013;30.9.2013;Euro 5;Nej;
"=""OVB-344""";registrerad/registrerat;N1/Paketbil;Citroen;JUMPY;1997;VF7XURHHAGZ023940;Budtrans Group Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Befrielse från bilskatt;;13.2.2025;15.6.2026;Ja;189;;;;Dieselolja;Privat;21.1.2026;LähiTapiola;21.1.2026;14.6.2016;14.6.2016;;Nej;
"=""ERY-401""";registrerad/registrerat;N1/Paketbil;Mercedes-Benz;VITO 113CDI;2143;WDF63960123692362;Budtrans Group Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 innehavaren;Annat;Postinjakajat Oy - Postutdelarna Ab;Befrielse från bilskatt;;17.11.2025;17.11.2026;Ja;211;;;;Dieselolja;Privat;1.9.2021;LähiTapiola;1.9.2021;30.11.2011;30.11.2011;Euro 5;Nej;
"=""LZL-233""";avställd/avställt;N1/Paketbil;Mercedes-Benz;VITO;2143;WDF63960123664502;Budtrans Group Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 innehavaren;Annat;Postinjakajat Oy - Postutdelarna Ab;Avställning. Periodisk besiktning har inte utförts/godkänts. Befrielse från bilskatt;;6.10.2021;6.10.2022;Ja;211;;;;Dieselolja;Privat;1.9.2021;LähiTapiola;1.9.2021;6.10.2011;6.10.2011;;Nej;
"=""VMZ-419""";avställd/avställt;N1/Paketbil;Opel;MERIVA;1686;W0LSC9CK2D4045813;Budtrans Group Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 innehavaren;Annat;Postinjakajat Oy - Postutdelarna Ab;Avställning. Periodisk besiktning har inte utförts/godkänts;;28.2.2023;28.2.2024;Ja;160;;;;Dieselolja;Privat;21.9.2021;LähiTapiola;21.9.2021;28.2.2013;28.2.2013;Euro 5;Nej;
"=""BRE-103""";registrerad/registrerat;N1/Paketbil;Peugeot;PARTNER;1560;VF37F9HF8DJ604140;Budtrans Group Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;8.9.2025;8.9.2026;Ja;122;;;;Dieselolja;Privat;18.9.2025;LähiTapiola;18.9.2025;25.6.2013;25.6.2013;Euro 5;Nej;
"=""ENY-134""";registrerad/registrerat;N1/Paketbil;Skoda;YETI;1197;TMBKF75L4C6033247;Budtrans Group Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 innehavaren;Annat;Postinjakajat Oy - Postutdelarna Ab;;;23.3.2026;23.3.2027;Ja;149;;;;Bensin;Privat;1.9.2021;LähiTapiola;1.9.2021;2.1.2012;2.1.2012;Euro 5;Nej;
"=""XJY-996""";avställd/avställt;N1/Paketbil;Volkswagen;CADDY;1896;WV2ZZZ2KZ8X088295;Budtrans Group Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Avställning;;6.5.2025;6.5.2026;Ja;177;;;;Dieselolja;Privat;7.5.2025;LähiTapiola;8.5.2025;5.8.2008;5.8.2008;;Nej;
"=""MKH-390""";avställd/avställt;N1/Paketbil;Volkswagen;TRANSPORTER;1968;WV1ZZZ7HZBH024258;Budtrans Group Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 innehavaren;Annat;Postinjakajat Oy - Postutdelarna Ab;Avställning. Periodisk besiktning har inte utförts/godkänts. Befrielse från bilskatt;;3.12.2020;22.12.2021;Ja;211;;;;Dieselolja;Privat;1.9.2021;LähiTapiola;1.9.2021;22.12.2010;22.12.2010;;Nej;
"=""IJK-275""";avställd/avställt;N1/Paketbil;Volkswagen;CADDY;1896;WV1ZZZ2KZAX131237;Budtrans Group Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 innehavaren;Annat;Postinjakajat Oy - Postutdelarna Ab;Avställning;;5.12.2025;7.12.2026;Ja;174;;;;Dieselolja;Privat;17.3.2025;LähiTapiola;17.3.2025;29.11.2010;29.11.2010;;Nej;
"=""IJA-707""";registrerad/registrerat;N1/Paketbil;Volkswagen;CADDY MAXI;1896;WV1ZZZ2KZ9X132113;Budtrans Group Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;;;17.9.2025;18.9.2026;Ja;182;;;;Dieselolja;Privat;21.3.2025;LähiTapiola;18.3.2025;24.8.2009;24.8.2009;;Nej;
"=""YVX-655""";avställd/avställt;N1/Paketbil;Volkswagen, VW;CADDY;1968;WV1ZZZ2KZEX004044;Budtrans Group Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 innehavaren;Annat;Postinjakajat Oy - Postutdelarna Ab;Avställning. Periodisk besiktning har inte utförts/godkänts;;27.9.2023;27.9.2024;Ja;152;;;;Dieselolja;Privat;1.9.2021;LähiTapiola;1.9.2021;21.8.2013;21.8.2013;Euro 5;Nej;
"=""XVM-392""";avställd/avställt;N1/Paketbil;Volkswagen, VW;CADDY;1968;WV1ZZZ2KZEX009595;Budtrans Group Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 innehavaren;Annat;Postinjakajat Oy - Postutdelarna Ab;Avställning. Periodisk besiktning har inte utförts/godkänts;;23.2.2024;24.2.2025;Ja;152;;;;Dieselolja;Privat;1.9.2021;LähiTapiola;1.9.2021;21.8.2013;21.8.2013;Euro 5;Nej;
"=""ISL-829""";registrerad/registrerat;N1/Paketbil;Volkswagen, VW;CADDY;1968;WV1ZZZ2KZEX099626;Budtrans Group Oy Ab. Slagfältsvägen 51, 66800 ORAVAIS;;1 ägaren;;;Befrielse från bilskatt;;18.8.2025;18.8.2026;Ja;174;;;;Dieselolja;Privat;29.1.2026;LähiTapiola;29.1.2026;29.1.2026;15.4.2014;Euro 5;Nej;
